,VIII Distribution of various animal taxa,
,,
1,domestic cattle= ,bostaur
2,caprines (sheep & goats)= ,oviscap
3,domestic pig= ,susscrd
4,red deer=,cervela
5,wild boar=,susscrf
6,aurochs (wild cattle)=,bosprim
7,roe deer=,caprcap
8,domestic dog=,canifam
9,domestic horse=,equucab
10,elk=,alcealc
11,wolf=,canilup
12,wild horse=,equufer
13,wildcat=,felispe
14,hare=,lepuspe
15,otter=,lutrlut
16,lynx=,lynxspe
17,marten=,martspe
18,badger=,melemel
19,mustela=,mustspe
20,brown bear=,ursuarc
21,fox=,vulpspe
22,other wild land=,bisobon+caprawild+damadam+asinspe+erinspe+gazespe+gulogul+ oryccun+oviswild+pantspe+rangtar+rupirup+saigtat+vorper
23,wild marine=,cetaind+delpdel+delpind+haligry+monamon+phocgro+phochis+phocind+ phocoin+phocospe+phocvit+physmac+pinnind+turstru
